time,open,high,low,close,VIDYA 55,VIDYA 233,Lower BB,Upper BB,Midline BB,Lower BB2,Upper BB2,Lower BB3,Upper BB3,Trend Line,Short Kalman,Long Kalman,Title (Open),Title (High,Title (Low),Title (Close),PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),ParabolicSAR,Previous Value,MOM-LRC Upper,MOM-LRC Lower,Upper Band (1.5 Dev),Lower Band (1.5 Dev)
26/02/2025,43681,43858,43261,43427,43841.3249,41650.59797,41173.67865,44309.25711,42741.46788,40651.08224,44831.85352,40128.48583,45354.44993,33860.58269,43572.68214,43870.1252,43681,43858,43261,43427,43681,43858,43261,43427,44789.23472,56.54835749,74.7024247,38.39429029,70.1639079,42.93280709
27/02/2025,43418,43888,43218,43256,43820.42044,41664.31936,41115.52091,44276.21694,42695.86893,40588.73824,44802.99961,40061.95557,45329.78228,33880.00256,43425.9554,43737.80644,43418,43888,43218,43256,43418,43888,43218,43256,44666.97594,56.38658553,74.61867673,38.15449434,70.06065393,42.71251713
28/02/2025,43279,43858,43080,43766,43818.47685,41682.28244,41056.96803,44243.455,42650.21152,40525.88687,44774.53616,39994.80571,45305.61732,33899.6139,43583.50655,43743.881,43279,43858,43080,43766,43279,43858,43080,43766,44522.07834,56.19821653,74.52517581,37.87125726,69.94343599,42.45299708
03/03/2025,43806,44045,42914,43252,43798.24554,41695.69883,40997.97941,44210.9061,42604.44275,40462.49163,44746.39388,39927.00385,45281.88166,33918.85287,43429.91129,43637.90085,43806,44045,42914,43252,43806,44045,42914,43252,44349.02894,56.00270588,74.45875316,37.54665859,69.84474134,42.16067041
04/03/2025,43268,43292,42352,42765,43761.34391,41704.83816,40938.62799,44178.61741,42558.6227,40398.62975,44718.61565,39858.63151,45258.61389,33936.83697,43121.8413,43449.82657,43268,43292,42352,42765,43268,43292,42352,42765,44148.12489,55.79391032,74.42640358,37.16141707,69.76828026,41.81954038
05/03/2025,42793,43125,42404,42978,43733.36734,41715.71988,40879.08468,44146.72722,42512.90595,40334.47759,44691.33431,39789.8705,45235.94141,33954.8508,43055.19603,43348.16732,42793,43125,42404,42978,42793,43125,42404,42978,44045,55.56217567,74.41985303,36.70449832,69.70543369,41.41891766
06/03/2025,42999,43031,42363,42598,43692.81851,41723.26074,40819.26275,44115.10937,42467.18606,40269.95498,44664.41715,39720.6472,45213.72492,33972.48065,42843.3657,43186.53708,42999,43031,42363,42598,42999,43031,42363,42598,43774.12,55.31337906,74.44302558,36.18373253,69.66061395,40.96614416
07/03/2025,42596,42889,42154,42749,43659.1107,41732.02774,40759.09644,44083.64978,42421.37311,40205.00422,44637.74201,39650.912,45191.83423,33989.93987,42799.64372,43092.26581,42596,42889,42154,42749,42596,42889,42154,42749,43546.5808,55.04719615,74.44017337,35.65421894,69.59192906,40.50246324
10/03/2025,42494,42651,41606,41945,43597.89246,41733.84802,40698.49841,44052.23547,42375.36694,40139.54224,44611.19165,39580.58606,45170.14782,34006.29087,42403.66595,42845.07715,42494,42651,41606,41945,42494,42651,41606,41945,43295.91626,54.76490713,74.38002262,35.14979165,69.47624374,40.05357052
11/03/2025,41906,42073,41167,41423,43520.21773,41731.19119,40637.86323,44021.23175,42329.54749,40073.96848,44585.12651,39510.07372,45149.02126,34021.57031,41949.29894,42538.67793,41906,42073,41167,41423,41906,42073,41167,41423,42957.933,54.46416858,74.27335836,34.65497881,69.32106092,39.60727625
12/03/2025,41505,41974,41003,41318,43441.5671,41727.65965,40577.62766,43991.0076,42284.31763,40008.731,44559.90426,39439.83434,45128.80092,34036.5705,41656.80239,42275.67198,41505,41974,41003,41318,41505,41974,41003,41318,42651,54.14541821,74.13957741,34.15125901,69.14103761,39.14979881
13/03/2025,41375,41443,40653,40852,43349.08256,41720.17538,40517.94651,43961.63784,42239.79218,39943.99796,44535.5864,39370.0494,45109.53495,34050.63143,41283.91735,41968.92914,41375,41443,40653,40852,41375,41443,40653,40852,42321.4,53.8106089,74.00854051,33.61267728,68.95905761,38.66216019
14/03/2025,40930,41510,40897,41402,43279.5439,41717.45593,40459.24807,43933.42609,42196.33708,39880.21839,44512.45577,39301.18872,45091.48544,34065.24486,41338.62799,41846.7792,40930,41510,40897,41402,40930,41510,40897,41402,41987.72,53.46088321,73.8750698,33.04669661,68.77152315,38.15024326
17/03/2025,41280,42014,41211,41849,43228.45304,41718.58024,40401.43175,43906.18467,42153.80821,39817.30627,44490.31015,39233.18078,45074.43564,34080.68228,41575.09608,41847.25769,41280,42014,41211,41849,41280,42014,41211,41849,40653,53.11726719,73.7457326,32.48880178,68.58861625,37.64591813
18/03/2025,41883,41886,41397,41574,43169.36544,41717.34451,40344.24378,43879.61242,42111.9281,39755.01568,44468.84052,39165.78757,45058.06863,34095.94204,41574.58824,41788.38188,41883,41886,41397,41574,41883,41886,41397,41574,40680.22,52.80013946,73.63898682,31.9612921,68.42927498,37.17100394
19/03/2025,41582,42186.5,41505.5,41972.5,43126.62024,41719.52532,40287.66011,43853.65515,42070.65763,39693.3276,44447.98766,39098.9951,45042.32016,34111.71577,41758.95069,41828.05177,41582,42186.5,41505.5,41972.5,41582,42186.5,41505.5,41972.5,40706.8956,52.50468142,73.53085086,31.47851198,68.2743085,36.73505434
20/03/2025,42034.5,42243.5,41672.5,41956.5,43084.83023,41721.55075,40231.46537,43828.08483,42029.7751,39632.02879,44427.5214,39032.59221,45026.95798,34127.59792,41850.48022,41855.72709,42034.5,42243.5,41672.5,41956.5,42034.5,42243.5,41672.5,41956.5,40766.07978,52.24077866,73.42073867,31.06081865,68.12574867,36.35580865
21/03/2025,41949.5,41992.5,41400.5,41976.5,43045.24701,41723.7298,40175.67949,43802.91831,41989.2989,39571.13969,44407.45811,38966.59988,45011.99791,34143.10852,41908.86833,41881.74869,41949.5,41992.5,41400.5,41976.5,41949.5,41992.5,41400.5,41976.5,40854.72499,52.00814948,73.32171392,30.69458505,67.99332281,36.02297616
24/03/2025,42145.5,42638.5,42134.5,42557.5,43027.82747,41730.85604,40120.47945,43778.32022,41949.39983,39510.83933,44387.96034,38901.1992,44997.60047,34159.91093,42209.39557,42027.34534,42145.5,42638.5,42134.5,42557.5,42145.5,42638.5,42134.5,42557.5,40938.05149,51.7952012,73.19660962,30.39379277,67.84625751,35.74414488
25/03/2025,42534.5,42692.5,42435.5,42594.5,43012.35149,41738.23762,40065.53136,43753.95734,41909.74435,39450.7937,44368.695,38836.05604,44983.43267,34176.94384,42387.82406,42149.54388,42534.5,42692.5,42435.5,42594.5,42534.5,42692.5,42435.5,42594.5,41074.08737,51.62294009,73.0628983,30.18298189,67.70290875,35.54297144
26/03/2025,42594.5,42819.5,42317.5,42407.5,42990.74965,41743.95781,40010.70116,43729.70766,41870.20441,39390.86674,44349.54208,38771.03232,44969.37649,34193.82216,42396.94042,42205.12283,42594.5,42819.5,42317.5,42407.5,42594.5,42819.5,42317.5,42407.5,41235.92863,51.49005804,72.93206788,30.04804819,67.57156542,35.40855065
27/03/2025,42302.5,42561.5,42148.5,42306.5,42966.31217,41748.76586,39955.97233,43705.56585,41830.76909,39331.04008,44330.4981,38706.10783,44955.43035,34210.31004,42355.03711,42226.96544,42302.5,42561.5,42148.5,42306.5,42302.5,42561.5,42148.5,42306.5,41425.9572,51.38864425,72.81927986,29.95800865,67.46162095,35.31566755
