time,open,high,low,close,VIDYA 55,VIDYA 233,Lower BB,Upper BB,Midline BB,Lower BB2,Upper BB2,Lower BB3,Upper BB3,Trend Line,Short Kalman,Long Kalman,Title (Open),Title (High,Title (Low),Title (Close),PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),ParabolicSAR,Previous Value,MOM-LRC Upper,MOM-LRC Lower,Upper Band (1.5 Dev),Lower Band (1.5 Dev)
2026-02-13T11:00:00Z,49283.00,49501.00,49064.00,49304.00,49659.91,49002.56,49007.76,50285.97,49646.87,48794.73,50499.00,48581.69,50712.04,46811.41,49349.38,49569.52,49283.00,49501.00,49064.00,49304.00,49283.00,49501.00,49064.00,49304.00,50090.39,52.57,72.25,32.89,67.33,37.81
2026-02-13T15:00:00Z,49300.00,49725.00,49292.00,49561.00,49656.38,49007.33,49003.10,50280.76,49641.93,48790.16,50493.71,48577.21,50706.65,46816.90,49447.43,49567.68,49300.00,49725.00,49292.00,49561.00,49300.00,49725.00,49292.00,49561.00,49946.69,52.43,72.09,32.77,67.17,37.68
2026-02-13T19:00:00Z,49563.00,49648.00,49338.00,49431.00,49648.33,49010.95,48998.38,50275.05,49636.72,48785.61,50487.83,48572.83,50700.61,46822.28,49439.82,49538.23,49563.00,49648.00,49338.00,49431.00,49563.00,49648.00,49338.00,49431.00,49823.12,52.30,71.93,32.66,67.02,37.57
2026-02-15T23:00:00Z,49490.00,49611.00,49434.00,49575.00,49645.71,49015.77,48993.74,50268.98,49631.36,48781.20,50481.51,48568.67,50694.05,46827.78,49502.45,49546.16,49490.00,49611.00,49434.00,49575.00,49490.00,49611.00,49434.00,49575.00,49725.00,52.16,71.76,32.56,66.86,37.46
2026-02-16T03:00:00Z,49575.00,49592.00,49538.00,49579.00,49643.33,49020.59,48989.18,50262.53,49625.86,48776.95,50474.76,48564.73,50686.98,46833.33,49537.92,49553.23,49575.00,49592.00,49538.00,49579.00,49575.00,49592.00,49538.00,49579.00,49648.00,52.04,71.61,32.46,66.72,37.35
2026-02-16T07:00:00Z,49577.00,49747.00,49574.00,49700.00,49645.36,49026.40,48984.53,50255.58,49620.06,48772.69,50467.42,48560.85,50679.26,46839.08,49613.01,49584.85,49577.00,49747.00,49574.00,49700.00,49577.00,49747.00,49574.00,49700.00,49064.00,51.92,71.49,32.36,66.60,37.25
2026-02-16T11:00:00Z,49701.00,49734.00,49552.00,49633.00,49644.91,49031.58,48979.75,50248.06,49613.90,48768.37,50459.44,48556.98,50670.83,46844.75,49622.27,49595.23,49701.00,49734.00,49552.00,49633.00,49701.00,49734.00,49552.00,49633.00,49077.66,51.83,71.41,32.26,66.51,37.15
2026-02-16T15:00:00Z,49635.00,49666.00,49485.00,49533.00,49640.92,49035.87,48974.84,50239.99,49607.41,48763.98,50450.84,48553.12,50661.70,46850.25,49580.91,49581.82,49635.00,49666.00,49485.00,49533.00,49635.00,49666.00,49485.00,49533.00,49091.05,51.76,71.35,32.16,66.45,37.06
2026-02-16T23:00:00Z,49554.00,49620.00,49331.00,49404.00,49632.46,49039.01,48969.75,50231.33,49600.54,48759.48,50441.60,48549.22,50651.86,46855.51,49498.94,49543.51,49554.00,49620.00,49331.00,49404.00,49554.00,49620.00,49331.00,49404.00,49104.17,51.68,71.32,32.05,66.41,36.95
2026-02-17T03:00:00Z,49405.00,49406.00,49288.00,49360.00,49622.73,49041.76,48964.38,50222.03,49593.20,48754.77,50431.63,48545.16,50641.24,46860.56,49434.57,49503.97,49405.00,49406.00,49288.00,49360.00,49405.00,49406.00,49288.00,49360.00,49117.02,51.60,71.27,31.92,66.35,36.84
2026-02-17T07:00:00Z,49359.00,49533.00,49300.00,49406.00,49614.98,49044.87,48958.76,50212.13,49585.45,48749.87,50421.03,48540.97,50629.92,46865.73,49421.33,49482.86,49359.00,49533.00,49300.00,49406.00,49359.00,49533.00,49300.00,49406.00,49129.62,51.50,71.18,31.82,66.26,36.74
2026-02-17T11:00:00Z,49406.00,49722.00,49274.00,49329.00,49604.77,49047.30,48952.98,50201.75,49577.37,48744.85,50409.88,48536.72,50618.01,46870.95,49378.55,49449.71,49406.00,49722.00,49274.00,49329.00,49406.00,49722.00,49274.00,49329.00,49141.97,51.39,71.04,31.75,66.13,36.66
2026-02-17T15:00:00Z,49329.00,49689.00,49169.00,49647.00,49606.28,49052.42,48947.10,50190.97,49569.04,48739.79,50398.28,48532.48,50605.60,46876.27,49502.93,49492.22,49329.00,49689.00,49169.00,49647.00,49329.00,49689.00,49169.00,49647.00,49154.07,51.29,70.85,31.73,65.96,36.62
2026-02-17T19:00:00Z,49646.00,49662.00,49488.00,49549.00,49604.23,49056.67,48941.13,50179.79,49560.46,48734.68,50386.23,48528.24,50592.67,46881.72,49524.28,49504.45,49646.00,49662.00,49488.00,49549.00,49646.00,49662.00,49488.00,49549.00,49165.93,51.20,70.62,31.78,65.77,36.64
2026-02-17T23:00:00Z,49549.00,49556.00,49468.00,49510.00,49600.87,49060.54,48934.95,50168.11,49551.53,48729.43,50373.64,48523.90,50579.17,46887.04,49517.66,49505.65,49549.00,49556.00,49468.00,49510.00,49549.00,49556.00,49468.00,49510.00,49169.00,51.13,70.37,31.89,65.56,36.70
2026-02-18T03:00:00Z,49512.00,49610.00,49495.00,49585.00,49600.30,49065.02,48928.54,50155.92,49542.23,48723.97,50360.48,48519.41,50565.04,46892.46,49548.86,49522.74,49512.00,49610.00,49495.00,49585.00,49512.00,49610.00,49495.00,49585.00,49180.56,51.07,70.08,32.05,65.33,36.80
2026-02-18T07:00:00Z,49584.00,49799.00,49570.00,49787.00,49606.97,49071.19,48921.73,50143.08,49532.41,48718.17,50346.64,48514.62,50550.20,46898.18,49659.20,49579.68,49584.00,49799.00,49570.00,49787.00,49584.00,49799.00,49570.00,49787.00,49191.89,51.02,69.76,32.28,65.07,36.96
2026-02-18T11:00:00Z,49788.00,49798.00,49430.00,49741.00,49611.76,49076.92,48914.36,50129.45,49521.90,48711.84,50331.97,48509.32,50534.49,46903.76,49697.10,49614.44,49788.00,49798.00,49430.00,49741.00,49788.00,49798.00,49430.00,49741.00,49216.17,51.00,69.42,32.58,64.81,37.18
2026-02-18T15:00:00Z,49740.00,49891.00,49635.00,49688.00,49614.48,49082.14,48906.53,50115.18,49510.86,48705.09,50316.62,48503.65,50518.06,46909.50,49692.88,49630.29,49740.00,49891.00,49635.00,49688.00,49740.00,49891.00,49635.00,49688.00,49239.49,50.99,69.07,32.91,64.55,37.43
2026-02-18T19:00:00Z,49685.00,49730.00,49519.00,49637.00,49615.28,49086.89,48898.29,50100.28,49499.29,48697.96,50300.61,48497.62,50500.95,46915.00,49666.99,49631.73,49685.00,49730.00,49519.00,49637.00,49685.00,49730.00,49519.00,49637.00,49278.58,51.01,68.76,33.25,64.32,37.69
2026-02-18T23:00:00Z,49620.00,49680.00,49599.00,49661.00,49616.92,49091.79,48889.61,50084.77,49487.19,48690.42,50283.96,48491.23,50483.15,46920.53,49664.22,49638.04,49620.00,49680.00,49599.00,49661.00,49620.00,49680.00,49599.00,49661.00,49315.32,51.02,68.47,33.57,64.11,37.93
2026-02-19T03:00:00Z,49662.00,49691.00,49602.00,49691.00,49619.56,49096.91,48880.35,50068.52,49474.43,48682.32,50266.54,48484.30,50464.57,46926.08,49676.63,49649.45,49662.00,49691.00,49602.00,49691.00,49662.00,49691.00,49602.00,49691.00,49349.86,51.03,68.20,33.87,63.91,38.16
2026-02-19T07:00:00Z,49693.00,49713.00,49442.00,49468.00,49614.15,49100.09,48870.50,50051.56,49461.03,48673.66,50248.40,48476.82,50445.24,46931.37,49579.96,49610.36,49693.00,49713.00,49442.00,49468.00,49693.00,49713.00,49442.00,49468.00,49382.33,51.05,67.93,34.18,63.71,38.40
2026-02-19T11:00:00Z,49467.00,49563.00,49330.00,49469.00,49608.97,49103.24,48860.10,50033.97,49447.04,48664.46,50229.62,48468.81,50425.26,46936.48,49528.55,49579.90,49467.00,49563.00,49330.00,49469.00,49467.00,49563.00,49330.00,49469.00,49891.00,51.06,67.66,34.46,63.51,38.61
2026-02-19T15:00:00Z,49468.00,49596.00,49180.00,49330.00,49599.00,49105.18,48849.27,50015.92,49432.59,48654.82,50210.36,48460.38,50404.81,46941.40,49436.56,49526.06,49468.00,49596.00,49180.00,49330.00,49468.00,49596.00,49180.00,49330.00,49879.78,51.04,67.43,34.65,63.33,38.75
2026-02-19T19:00:00Z,49328.00,49418.00,49214.00,49346.00,49589.97,49107.23,48838.09,49997.53,49417.81,48644.86,50190.77,48451.62,50384.01,46946.23,49394.60,49487.26,49328.00,49418.00,49214.00,49346.00,49328.00,49418.00,49214.00,49346.00,49851.79,51.00,67.27,34.73,63.20,38.79
2026-02-19T23:00:00Z,49371.00,49460.00,49360.00,49445.00,49584.79,49110.12,48826.74,49978.95,49402.84,48634.70,50170.98,48442.67,50363.02,46951.24,49417.95,49478.16,49371.00,49460.00,49360.00,49445.00,49371.00,49460.00,49360.00,49445.00,49824.92,50.93,67.14,34.71,63.09,38.76
2026-02-20T03:00:00Z,49446.00,49497.00,49433.00,49479.00,49581.01,49113.27,48815.24,49960.22,49387.73,48624.40,50151.05,48433.57,50341.88,46956.34,49446.24,49478.34,49446.00,49497.00,49433.00,49479.00,49446.00,49497.00,49433.00,49479.00,49799.12,50.85,67.07,34.63,63.02,38.69
2026-02-20T07:00:00Z,49478.00,49537.00,49394.00,49394.00,49574.33,49115.67,48803.63,49941.42,49372.53,48614.00,50131.06,48424.37,50320.69,46961.37,49422.03,49460.17,49478.00,49537.00,49394.00,49394.00,49478.00,49537.00,49394.00,49394.00,49774.36,50.78,67.05,34.51,62.99,38.58
2026-02-20T11:00:00Z,49393.00,49394.00,49139.00,49340.00,49565.96,49117.59,48791.92,49922.58,49357.25,48603.48,50111.02,48415.04,50299.47,46966.09,49384.03,49434.28,49393.00,49394.00,49139.00,49340.00,49393.00,49394.00,49139.00,49340.00,49750.58,50.72,67.07,34.37,62.98,38.46
2026-02-20T15:00:00Z,49341.00,49703.00,49199.00,49584.00,49566.61,49121.58,48780.00,49903.63,49341.82,48592.73,50090.90,48405.46,50278.17,46971.21,49476.68,49466.53,49341.00,49703.00,49199.00,49584.00,49341.00,49703.00,49199.00,49584.00,49713.89,50.63,67.04,34.22,62.94,38.33
2026-02-20T19:00:00Z,49585.00,49651.00,49478.00,49612.00,49568.23,49125.77,48767.65,49884.39,49326.02,48581.53,50070.51,48395.40,50256.63,46976.49,49539.38,49497.88,49585.00,49651.00,49478.00,49612.00,49585.00,49651.00,49478.00,49612.00,49703.00,50.57,66.99,34.14,62.89,38.24
2026-02-22T23:00:00Z,49558.00,49611.00,49305.00,49315.00,49559.18,49127.39,48754.80,49864.81,49309.81,48569.80,50049.81,48384.80,50234.81,46981.42,49435.42,49458.47,49558.00,49611.00,49305.00,49315.00,49558.00,49611.00,49305.00,49315.00,49703.00,50.52,66.93,34.11,62.82,38.21
2026-02-23T03:00:00Z,49316.00,49350.00,49284.00,49345.00,49551.53,49129.25,48741.62,49845.09,49293.36,48557.71,50029.00,48373.80,50212.91,46986.16,49393.52,49434.03,49316.00,49350.00,49284.00,49345.00,49316.00,49350.00,49284.00,49345.00,49669.16,50.47,66.84,34.09,62.75,38.19
2026-02-23T07:00:00Z,49346.00,49512.00,49343.00,49489.00,49549.30,49132.32,48728.11,49825.26,49276.69,48545.26,50008.12,48362.40,50190.97,46991.15,49437.76,49445.87,49346.00,49512.00,49343.00,49489.00,49346.00,49512.00,49343.00,49489.00,49637.35,50.41,66.74,34.09,62.65,38.17
2026-02-23T11:00:00Z,49489.00,49706.00,49204.00,49213.00,49537.29,49133.01,48713.97,49805.06,49259.52,48532.12,49986.91,48350.28,50168.76,46995.97,49333.62,49395.70,49489.00,49706.00,49204.00,49213.00,49489.00,49706.00,49204.00,49213.00,49139.00,50.36,66.62,34.10,62.56,38.17
2026-02-23T15:00:00Z,49214.00,49247.00,48755.00,48865.00,49513.28,49130.72,48699.23,49784.58,49241.91,48518.34,49965.48,48337.45,50146.37,46999.94,49116.50,49281.35,49214.00,49247.00,48755.00,48865.00,49214.00,49247.00,48755.00,48865.00,49706.00,50.31,66.49,34.13,62.45,38.17
2026-02-23T19:00:00Z,48867.00,48889.00,48718.00,48830.00,49488.88,49128.15,48684.22,49764.17,49224.19,48504.23,49944.16,48324.24,50124.15,47003.61,48983.76,49184.10,48867.00,48889.00,48718.00,48830.00,48867.00,48889.00,48718.00,48830.00,49706.00,50.24,66.34,34.13,62.31,38.16
2026-02-23T23:00:00Z,48839.00,48877.00,48811.00,48866.00,49466.63,49125.91,48668.78,49743.73,49206.25,48489.62,49922.89,48310.46,50102.05,47007.35,48929.20,49115.57,48839.00,48877.00,48811.00,48866.00,48839.00,48877.00,48811.00,48866.00,49666.48,50.14,66.17,34.11,62.16,38.12
2026-02-24T03:00:00Z,48866.00,48895.00,48831.00,48871.00,49445.36,49123.73,48652.81,49723.24,49188.02,48474.40,49901.64,48296.00,50080.04,47011.11,48902.23,49062.87,48866.00,48895.00,48831.00,48871.00,48866.00,48895.00,48831.00,48871.00,49628.54,50.02,65.99,34.06,62.00,38.05
2026-02-24T07:00:00Z,48870.00,48900.00,48768.00,48863.00,49424.56,49121.50,48636.38,49702.79,49169.58,48458.64,49880.53,48280.90,50058.27,47014.82,48884.06,49019.81,48870.00,48900.00,48768.00,48863.00,48870.00,48900.00,48768.00,48863.00,49592.12,49.90,65.82,33.98,61.84,37.96
2026-02-24T11:00:00Z,48874.00,49255.00,48749.00,49040.00,49410.83,49120.81,48619.48,49682.45,49150.97,48442.32,49859.61,48265.16,50036.77,47018.87,48956.31,49024.16,48874.00,49255.00,48749.00,49040.00,48874.00,49255.00,48749.00,49040.00,49557.15,49.76,65.65,33.87,61.68,37.84
2026-02-24T15:00:00Z,49037.00,49287.00,48946.00,49245.00,49404.90,49121.87,48602.04,49662.15,49132.10,48425.35,49838.84,48248.66,50015.53,47023.20,49090.07,49071.74,49037.00,49287.00,48946.00,49245.00,49037.00,49287.00,48946.00,49245.00,49523.59,49.63,65.51,33.75,61.54,37.72
2026-02-24T19:00:00Z,49244.00,49260.00,49134.00,49145.00,49395.62,49122.06,48584.09,49642.00,49113.04,48407.77,49818.32,48231.45,49994.64,47027.56,49115.52,49087.53,49244.00,49260.00,49134.00,49145.00,49244.00,49260.00,49134.00,49145.00,49491.36,49.53,65.41,33.64,61.44,37.61
2026-02-24T23:00:00Z,49161.00,49237.00,49135.00,49223.00,49389.46,49122.93,48565.67,49622.05,49093.86,48389.60,49798.12,48213.54,49974.18,47031.96,49165.32,49116.71,49161.00,49237.00,49135.00,49223.00,49161.00,49237.00,49135.00,49223.00,49460.43,49.45,65.35,33.55,61.37,37.53
2026-02-25T03:00:00Z,49223.00,49223.00,49086.00,49175.00,49381.80,49123.37,48546.66,49602.22,49074.44,48370.73,49778.15,48194.80,49954.08,47036.27,49169.80,49129.27,49223.00,49223.00,49086.00,49175.00,49223.00,49223.00,49086.00,49175.00,49430.73,49.39,65.31,33.48,61.33,37.46
2026-02-25T07:00:00Z,49176.00,49267.00,49156.00,49237.00,49376.63,49124.34,48527.16,49582.62,49054.89,48351.25,49758.53,48175.34,49934.44,47040.69,49200.94,49152.48,49176.00,49267.00,49156.00,49237.00,49176.00,49267.00,49156.00,49237.00,49402.22,49.35,65.26,33.44,61.29,37.42
2026-02-25T11:00:00Z,49238.00,49437.00,49233.00,49277.00,49373.07,49125.65,48507.07,49563.17,49035.12,48331.06,49739.19,48155.04,49915.20,47045.30,49236.18,49179.31,49238.00,49437.00,49233.00,49277.00,49238.00,49437.00,49233.00,49277.00,48718.00,49.33,65.21,33.45,61.24,37.42
2026-02-25T15:00:00Z,49279.00,49489.00,49188.00,49439.00,49375.42,49128.33,48486.44,49543.96,49015.20,48310.19,49720.21,48133.94,49896.46,47050.01,49330.15,49235.26,49279.00,49489.00,49188.00,49439.00,49279.00,49489.00,49188.00,49439.00,48732.38,49.33,65.17,33.49,61.21,37.45
2026-02-25T19:00:00Z,49438.00,49527.00,49415.00,49443.00,49377.84,49131.02,48465.20,49524.93,48995.06,48288.57,49701.56,48111.95,49878.18,47054.89,49382.44,49280.02,49438.00,49527.00,49415.00,49443.00,49438.00,49527.00,49415.00,49443.00,48762.64,49.36,65.19,33.54,61.23,37.50
2026-02-25T23:00:00Z,49475.00,49484.00,49372.00,49413.00,49379.09,49133.43,48443.26,49506.07,48974.67,48266.12,49683.21,48088.99,49860.34,47059.68,49396.60,49308.67,49475.00,49484.00,49372.00,49413.00,49475.00,49484.00,49372.00,49413.00,48808.51,49.43,65.26,33.59,61.30,37.55
2026-02-26T03:00:00Z,49412.00,49426.00,49359.00,49369.00,49378.73,49135.44,48420.51,49487.24,48953.87,48242.72,49665.03,48064.93,49842.82,47064.39,49383.81,49321.67,49412.00,49426.00,49359.00,49369.00,49412.00,49426.00,49359.00,49369.00,48851.62,49.51,65.37,33.64,61.41,37.61
2026-02-26T07:00:00Z,49370.00,49462.00,49356.00,49432.00,49380.63,49137.97,48396.82,49468.29,48932.56,48218.25,49646.87,48039.67,49825.44,47069.15,49406.14,49345.44,49370.00,49462.00,49356.00,49432.00,49370.00,49462.00,49356.00,49432.00,48892.14,49.59,65.48,33.70,61.51,37.67
2026-02-26T11:00:00Z,49432.00,49826.00,49430.00,49617.00,49389.08,49142.07,48372.14,49449.13,48910.64,48192.64,49628.63,48013.14,49808.13,47074.32,49503.84,49403.95,49432.00,49826.00,49430.00,49617.00,49432.00,49826.00,49430.00,49617.00,48930.23,49.69,65.60,33.77,61.62,37.75
2026-02-26T15:00:00Z,49618.00,49643.00,49222.00,49428.00,49390.47,49144.51,48346.25,49429.53,48887.89,48165.70,49610.08,47985.15,49790.63,47079.09,49468.70,49409.13,49618.00,49643.00,49222.00,49428.00,49618.00,49643.00,49222.00,49428.00,49001.89,49.80,65.75,33.86,61.76,37.85
2026-02-26T19:00:00Z,49429.00,49554.00,49300.00,49309.00,49387.56,49145.92,48319.27,49409.56,48864.41,48137.55,49591.28,47955.83,49772.99,47083.77,49394.71,49387.56,49429.00,49554.00,49300.00,49309.00,49429.00,49554.00,49300.00,49309.00,49067.82,49.91,65.88,33.94,61.89,37.94
2026-02-26T23:00:00Z,49242.00,49246.00,49156.00,49238.00,49382.22,49146.71,48291.14,49389.14,48840.14,48108.14,49572.14,47925.13,49755.14,47088.08,49322.10,49355.34,49242.00,49246.00,49156.00,49238.00,49242.00,49246.00,49156.00,49238.00,49128.48,50.01,66.01,34.01,62.01,38.01
2026-02-27T03:00:00Z,49239.00,49284.00,49202.00,49238.00,49382.22,49146.71,48262.00,49368.39,48815.20,48077.60,49552.79,47893.20,49737.19,47088.08,49283.13,49330.05,49239.00,49284.00,49202.00,49238.00,49239.00,49284.00,49202.00,49238.00,49156.00,50.08,66.09,34.07,62.09,38.07
2026-02-27T07:00:00Z,49238.00,49346.00,49183.00,49209.00,49376.03,49147.24,48231.89,49347.36,48789.62,48045.98,49533.27,47860.07,49719.18,47092.44,49248.79,49303.97,49238.00,49346.00,49183.00,49209.00,49238.00,49346.00,49183.00,49209.00,49826.00,50.13,66.13,34.12,62.13,38.12
2026-02-27T11:00:00Z,49210.00,49215.00,48662.00,48668.00,49350.74,49143.14,48200.79,49325.98,48763.39,48013.26,49513.52,47825.73,49701.05,47096.00,48979.69,49166.95,49210.00,49215.00,48662.00,48668.00,49210.00,49215.00,48662.00,48668.00,49813.14,50.16,66.11,34.20,62.13,38.19
2026-02-27T15:00:00Z,48669.00,49023.00,48652.00,48868.00,49333.50,49140.79,48168.94,49304.52,48736.73,47979.68,49493.78,47790.42,49683.04,47099.54,48927.94,49102.54,48669.00,49023.00,48652.00,48868.00,48669.00,49023.00,48652.00,48868.00,49767.09,50.15,66.04,34.27,62.07,38.24
2026-02-27T19:00:00Z,48864.00,48975.00,48741.00,48859.00,49316.55,49138.38,48136.37,49282.96,48709.66,47945.27,49474.06,47754.17,49665.15,47103.11,48896.00,49050.06,48864.00,48975.00,48741.00,48859.00,48864.00,48975.00,48741.00,48859.00,49700.19,50.11,65.92,34.31,61.97,38.26
2026-03-01T23:00:00Z,48381.00,48667.00,48328.00,48584.00,49290.39,49133.64,48103.06,49261.29,48682.18,47910.02,49454.33,47716.98,49647.37,47105.99,48751.44,48949.65,48381.00,48667.00,48328.00,48584.00,48381.00,48667.00,48328.00,48584.00,49637.30,50.05,65.81,34.29,61.87,38.23
2026-03-02T03:00:00Z,48583.00,48598.00,48279.00,48350.00,49256.81,49126.95,48069.25,49239.71,48654.48,47874.17,49434.79,47679.09,49629.86,47108.62,48565.44,48820.45,48583.00,48598.00,48279.00,48350.00,48583.00,48598.00,48279.00,48350.00,49532.55,49.95,65.71,34.19,61.77,38.13
2026-03-02T07:00:00Z,48349.00,48472.00,48106.00,48405.00,49226.39,49120.78,48034.92,49218.16,48626.54,47837.71,49415.36,47640.51,49612.57,47111.09,48491.11,48730.94,48349.00,48472.00,48106.00,48405.00,48349.00,48472.00,48106.00,48405.00,49407.20,49.82,65.63,34.01,61.68,37.96
2026-03-02T11:00:00Z,48407.00,48698.00,48349.00,48669.00,49206.48,49116.91,48000.22,49196.72,48598.47,47800.80,49396.14,47601.39,49595.55,47114.05,48573.53,48717.59,48407.00,48698.00,48349.00,48669.00,48407.00,48698.00,48349.00,48669.00,49251.05,49.66,65.55,33.77,61.58,37.75
2026-03-02T15:00:00Z,48665.00,48983.00,48626.00,48816.00,49192.53,49114.34,47964.95,49175.18,48570.06,47763.24,49376.88,47561.54,49578.59,47117.48,48685.87,48738.79,48665.00,48983.00,48626.00,48816.00,48665.00,48983.00,48626.00,48816.00,49113.65,49.51,65.50,33.52,61.50,37.52
