time,open,high,low,close,First 1m Range,First 1m Volume,Volume
1417039200,6730.5,6750,6720.5,6720.5,,,510
1417471200,6720.4,6756.2,6720.4,6732.4,,,780
1417557600,6721.6,6754.7,6721.6,6729.8,,,780
1417644000,6713.8,6734.3,6710.3,6710.3,,,780
1417730400,6718.3,6753.8,6718.3,6745.8,,,780
1421877600,6717.2,6843.4,6717.2,6829.4,,,44010
1421964000,6818.8,6851.4,6818.8,6825,,,38062
1422226800,6747,6889.7,6747,6808.3,,,32078
1422309600,6865.6,6877.5,6801.3,6801.3,,,38520
1422396000,6841.1,6875.8,6819,6819,,,43860
1422482400,6769.6,6866.5,6764.1,6764.1,,,47629
1422568800,6836.9,6845.9,6734.5,6734.5,,,45242
1422831600,6724.3,6815.2,6724.3,6766.2,,,52607
1422914400,6798.7,6906.3,6798.7,6883.3,,,44464
1423000800,6878.5,6891.1,6851.3,6851.3,,,46481
1423087200,6803.2,6872.3,6803.2,6856.9,,,36117
1423173600,6844.4,6889,6843.6,6843.6,,,35602
1423436400,6815.1,6849,6815.1,6834.9,,,39819
1423519200,6830.4,6854.2,6827.5,6827.5,,,33266
1423605600,6834.4,6849.4,6821.6,6821.6,,,32035
1423692000,6800.7,6856.7,6800.7,6836,,,27536
1423778400,6842.7,6890.1,6842.7,6888.6,,,19127
1424041200,6877.6,6885.7,6858,6858,,,13915
1424124000,6824.4,6915.4,6824.4,6870.9,,,26737
1424210400,6896.5,6921.8,6896.5,6897.8,,,20288
1424296800,6881.8,6908.2,6877.4,6877.4,,,23738
1424383200,6884.1,6961.6,6884.1,6933.4,,,29719
1424646000,6941.6,6958,6908.6,6908.6,,,21540
1424728800,6899.6,6960.5,6899.6,6955.2,,,22012
1424815200,6939.2,6957.1,6924.6,6924.6,,,16995
1424901600,6914.2,6959.1,6914.2,6939.3,,,18891
1424988000,6936.3,6970.7,6936.3,6953.4,,,20844
1425250800,6938.4,6976.8,6938.4,6951.7,,,18171
1425333600,6944.9,6965.8,6885,6885,,,19557
1425420000,6894.2,6935.9,6894.2,6925.4,,,23723
1425506400,6897.3,6972.9,6897.3,6957.7,,,19643
1425592800,6955.3,6966.2,6902.3,6902.3,,,22433
1425855600,6878.3,6898.7,6875.1,6875.1,,,19296
1425938400,6866.4,6873.5,6715.6,6715.6,,,27680
1426024800,6719.6,6742.5,6719.6,6721.5,,,23082
1426111200,6720.1,6804.4,6720.1,6773.4,,,16692
1426197600,6761.9,6777,6746.3,6746.3,,,22700
1426460400,6732.4,6820.5,6732.4,6785.9,,,19165
1426543200,6792.6,6864,6792.6,6843.6,,,24483
1426629600,6842.9,6998,6842.9,6953.1,,,27028
1426716000,6956.9,6984,6956.8,6956.8,,,25716
1426802400,6954.2,7032.1,6954.2,7017.9,,,21694
1427065200,7012.4,7045.4,7012.4,7027.5,,,21417
1427148000,7024.3,7070.7,7003.9,7006.9,,,20517
1427234400,7012.1,7040.9,7012.1,7014,,,23239
1427320800,6973.9,6983.2,6891.4,6891.4,,,41709
1427407200,6896.8,6922.1,6873.8,6873.8,,,30226
1427666400,6864.6,6918.2,6864.6,6871.7,,,25181
1427749200,6896.3,6911.4,6779.3,6779.3,,,31880
1427835600,6765.3,6857.7,6765.3,6808.8,,,38066
1427922000,6818.7,6854.7,6818.7,6842.3,,,19891
1428271200,6864.1,6884.1,6864.1,6864.3,,,313
1428354000,6864.8,6971.4,6864.8,6962.3,,,21162
1428440400,6948.7,7016.7,6948.7,6953.1,,,25203
1428526800,6961.7,7051.4,6961.7,7038.4,,,23341
1428613200,7037.3,7101.9,7026.5,7083,,,21056
1428876000,7086.8,7090.9,7037.6,7065.5,,,14294
1428958800,7040.4,7093.2,7040.1,7075.5,,,26404
1429045200,7082.8,7116.7,7055.7,7105.1,,,22314
1429131600,7098,7131.4,7049.4,7071.5,,,25181
1429218000,7082.3,7107.4,6980.5,6980.5,,,37169
1429480800,7018.2,7072.9,7009.9,7042.3,,,22651
1429563600,7034,7108.9,7028.9,7061.2,,,26151
1429650000,7069.5,7093.6,7028.7,7028.7,,,30564
1429736400,7029,7088.1,7029,7070.7,,,29340
1429822800,7067.8,7106.9,7049.3,7054.9,,,26014
1430085600,7061.1,7126.7,7021.8,7073.6,,,28882
1430168400,7081.9,7090.8,7035,7035,,,28360
1430254800,7057.9,7064.8,6947.7,6947.7,,,38497
1430341200,6954.9,6991.1,6943.3,6943.3,,,42325
1430427600,6933.5,7037.6,6933.5,6983.8,,,15435
1430690400,7039.2,7041.4,7036.2,7038.7,,,127
1430773200,7038.9,7055.8,6934.6,6934.6,,,38999
1430859600,6948,6976.3,6901.2,6901.2,,,37583
1430946000,6904.4,6948.1,6892,6892,,,43471
1431032400,6955.9,7063.5,6955.9,7055.5,,,34377
1431295200,7034.9,7088,7001.9,7013.8,,,29401
1431378000,7005.6,7039.5,6932.9,6932.9,,,36974
1431464400,6943.6,6994,6937.8,6937.8,,,33034
1431550800,6933,6989.1,6933,6976.6,,,26871
1431637200,6976,7014.8,6971.1,6971.1,,,26439
1431900000,6968.7,7024,6968.7,6974.7,,,25909
1431982800,6977.8,7015.6,6977.8,6984.9,,,26221
1432069200,6987,7027.1,6987,7012.4,,,22925
1432155600,6989.1,7031.5,6989.1,7017.9,,,19376
1432242000,7011.1,7065.7,7009.4,7034.1,,,17781
1432504800,7037.6,7038.6,7029.9,7037.1,,,156
1432587600,7033.9,7054,6952.8,6952.8,,,27800
1432674000,6960.6,7058,6960.6,6985.5,,,26344
1432760400,7028.4,7056.4,7004.1,7040,,,22183
1432846800,7045.1,7074,7000.2,7000.2,,,34242
1433109600,6997.6,7042.2,6964.1,6964.1,,,31694
1433192400,6968.9,6975.6,6906.1,6906.1,,,36529
1433278800,6920.1,6988.3,6920.1,6976.8,,,33324
1433365200,6933.9,6933.9,6814.8,6814.8,,,41738
1433451600,6850.4,6853.4,6815,6815,,,36810
1433714400,6814.6,6825.7,6808.1,6808.1,,,31937
1433797200,6780.4,6804,6736.9,6736.9,,,33081
