time,open,high,low,close,First 1m Range,First 1m Volume,Volume
1714971600,8235.2,8236.3,8230.2,8233.8,,,288
1714975200,8234.6,8242.6,8232.3,8238.6,,,521
1714978800,8239.4,8240.3,8231,8232.4,,,817
1714982400,8232.5,8243.3,8230.7,8242.2,,,532
1714986000,8242.3,8254.9,8241.2,8253.5,,,527
1714989600,8254.3,8267.2,8254.3,8265.7,,,615
1714993200,8265.5,8269.1,8262.3,8266.8,,,420
1714996800,8267.2,8280.6,8266.7,8268.4,,,612
1715000400,8267.6,8268.4,8254.9,8264.7,,,1442
1715004000,8264,8268.5,8257.6,8261.7,,,1478
1715007600,8261.6,8270.4,8259.9,8268.9,,,1125
1715011200,8268.8,8271.2,8261.3,8270.9,,,1083
1715014800,8271,8275.7,8265.8,8274.4,,,1007
1715018400,8274.5,8279.8,8273.9,8275.1,,,910
1715022000,8275,8280.1,8270,8280,,,1096
1715025600,8280.4,8280.6,8274.2,8274.3,,,318
1715032800,8271.4,8282.1,8270.1,8281.5,,,317
1715036400,8281.7,8282.8,8272.1,8272.5,,,322
1715040000,8289.1,8326.9,8285.1,8313.6,,,689
1715043600,8314.9,8315.1,8300.9,8302.4,,,422
1715047200,8302.1,8303.9,8296.1,8296.1,,,312
1715050800,8296.4,8306.1,8295.4,8305.9,,,323
1715054400,8306.1,8307.6,8298.6,8299.6,,,370
1715058000,8299.9,8302.1,8292.1,8299.6,,,446
1715061600,8299.9,8304.6,8288.6,8290.1,,,785
1715065200,8290.6,8313.9,8278.8,8280.3,,,3670
1715068800,8280.5,8310,8279.8,8298.3,,,1988
1715072400,8298,8303.3,8286.3,8295.5,,,1301
1715076000,8295.8,8303.5,8290.8,8297.8,,,1003
1715079600,8298.3,8303,8292.3,8302,,,1132
1715083200,8302.5,8321,8297.7,8320.5,,,934
1715086800,8320.7,8336.7,8316.5,8316.5,,,2505
1715090400,8316.2,8320,8304.7,8307.2,,,1661
1715094000,8307.4,8324.2,8307.4,8324.2,,,1215
1715097600,8324.7,8328.4,8322.7,8326.2,,,510
1715101200,8326.7,8336.7,8325.2,8326.2,,,597
1715104800,8325.7,8331.2,8324.2,8330.2,,,747
1715108400,8329.7,8335.7,8328.4,8330.8,,,534
1715112000,8331.1,8333.4,8326.9,8327.3,,,323
1715119200,8324,8326.1,8319.3,8326.1,,,395
1715122800,8326,8330.5,8324.3,8330.2,,,248
1715126400,8330.4,8350.9,8330.4,8338.6,,,406
1715130000,8338.9,8339.1,8327.4,8329.9,,,406
1715133600,8329.6,8334.1,8327.6,8331.6,,,286
1715137200,8331.4,8338.1,8329.1,8333.4,,,272
1715140800,8332.9,8335.6,8330.6,8332.1,,,285
1715144400,8331.9,8333.9,8328.9,8331.4,,,389
1715148000,8331.9,8338.4,8330.1,8330.6,,,687
1715151600,8331.1,8353.9,8331.1,8345.4,,,2477
1715155200,8345.1,8349.4,8333.9,8341.1,,,1487
1715158800,8340.9,8362.1,8338.4,8359.4,,,1307
1715162400,8359.1,8364.1,8344.9,8344.9,,,1054
1715166000,8345.4,8346.9,8331.4,8337.8,,,1211
1715169600,8337.6,8340.6,8327.6,8333.1,,,1327
1715173200,8332.8,8358.1,8332.3,8358.1,,,1925
1715176800,8357.6,8366,8353.5,8354,,,1570
1715180400,8354.2,8356,8332.8,8336.8,,,1110
1715184000,8337.3,8338.8,8334.3,8336.3,,,541
1715187600,8335.8,8340.8,8333.8,8340.3,,,565
1715191200,8340.8,8342.8,8337.8,8338.3,,,431
1715194800,8337.8,8345.3,8335.8,8342.3,,,535
1715198400,8342,8342,8335,8337.2,,,322
1715205600,8338.8,8353.8,8338.7,8351.2,,,255
1715209200,8350.8,8353.6,8345.9,8345.9,,,178
1715212800,8344,8370.3,8344,8367.3,,,491
1715216400,8367.8,8372.8,8358.5,8371.5,,,1084
1715220000,8371.3,8372.3,8361.5,8364.5,,,370
1715223600,8364.8,8366.5,8362,8364.8,,,276
1715227200,8365,8366.3,8359.3,8362.3,,,272
1715230800,8362.8,8363.8,8358.8,8359.8,,,341
1715234400,8359.5,8362.8,8349.8,8351.3,,,645
1715238000,8351.8,8364.8,8346.8,8350.3,,,1658
1715241600,8350,8362.3,8348.3,8359.8,,,1011
1715245200,8360.3,8363.3,8348.8,8351.3,,,855
1715248800,8351.5,8366.5,8350,8362.3,,,971
1715252400,8362,8393.8,8359.8,8378.1,,,3450
1715256000,8378.3,8391.4,8372.7,8373.2,,,2131
1715259600,8373.4,8382.7,8363.2,8382.4,,,1784
1715263200,8382.7,8396.1,8381.4,8393.4,,,1476
1715266800,8392.9,8393.6,8377.4,8379.4,,,1088
1715270400,8378.9,8396.9,8378.4,8395.9,,,501
1715274000,8396.1,8399.4,8390.4,8398.9,,,599
1715277600,8399.1,8408.4,8397.4,8407.9,,,465
1715281200,8407.6,8412.1,8404.6,8407.6,,,619
1715284800,8406.9,8418.7,8406.3,8414,,,349
1715292000,8415.2,8419.7,8415,8418.3,,,307
1715295600,8418.4,8419.8,8412.4,8412.4,,,262
1715299200,8412.5,8416.8,8407.6,8414.1,,,443
1715302800,8413.6,8422.1,8413.6,8418.8,,,491
1715306400,8418.3,8422.8,8412.3,8421.3,,,357
1715310000,8421.6,8421.6,8417.3,8419.3,,,167
1715313600,8419.1,8423.3,8418.8,8419.8,,,303
1715317200,8419.6,8425.1,8415.6,8416.3,,,515
1715320800,8416.1,8416.1,8396.8,8402.3,,,893
1715324400,8402.8,8430.2,8402.8,8426.7,,,2276
1715328000,8427.2,8438.7,8418.7,8438.4,,,1290
1715331600,8438.2,8451.7,8437.2,8449.7,,,1280
1715335200,8450.2,8456.2,8444.2,8445.2,,,1042
1715338800,8444.7,8452.1,8437.7,8445.6,,,1114
1715342400,8445.1,8448.6,8438.6,8441.1,,,1176
1715346000,8440.8,8444.3,8431.6,8433.8,,,1317
1715349600,8433.1,8442.4,8428.1,8437.7,,,1402
1715353200,8438.2,8441.7,8425.7,8426.2,,,1272
1715356800,8425.9,8426.7,8420.7,8420.9,,,559
1715360400,8420.7,8420.7,8415.7,8419.9,,,403
1715364000,8420.2,8420.2,8414.7,8418.7,,,424
1715367600,8418.2,8425.7,8416.7,8419.7,,,480
1715371200,8419.6,8419.6,8416.1,8418.6,,,252
1715551200,8419.4,8425.7,8417.7,8425,,,308
1715554800,8425.1,8425.9,8423.5,8423.6,,,161
1715558400,8417.1,8431.6,8417.1,8423.6,,,557
1715562000,8423.9,8424.6,8417.4,8421.6,,,255
1715565600,8421.4,8423.9,8419.1,8421.9,,,187
1715569200,8421.1,8425.6,8420.1,8423.9,,,234
1715572800,8423.6,8424.6,8419.6,8424.1,,,138
1715576400,8424.4,8426.4,8422.1,8425.6,,,374
1715580000,8425.9,8429.6,8422.9,8424.9,,,512
1715583600,8427.1,8448.1,8424.4,8443.9,,,1921
1715587200,8443.7,8445.7,8427.9,8428.2,,,1179
1715590800,8428.4,8436.4,8427.4,8436.4,,,960
1715594400,8436.2,8441.2,8422.7,8422.9,,,834
1715598000,8423.2,8425.7,8417.2,8424.6,,,1032
1715601600,8424.4,8425.6,8407.9,8408.9,,,985
1715605200,8409.4,8426.4,8407.9,8424.9,,,1401
1715608800,8425.4,8426.4,8412.2,8420.4,,,1269
1715612400,8420.2,8420.7,8408.2,8408.7,,,1229
1715616000,8408.4,8410.4,8402.2,8404.2,,,369
1715619600,8403.7,8404.2,8395.9,8399.7,,,590
1715623200,8399.4,8402.4,8398.2,8402.2,,,327
1715626800,8402.4,8408.7,8400.7,8406.7,,,461
1715630400,8406.3,8408.5,8402.3,8403.6,,,205
1715637600,8403.9,8409,8403.9,8408.5,,,387
1715641200,8408.4,8409.9,8407.9,8408.1,,,101
1715644800,8411.4,8411.6,8404.6,8407.9,,,272
1715648400,8408.1,8409.9,8395.6,8395.6,,,347
1715652000,8396.1,8396.6,8393.1,8393.1,,,160
1715655600,8393.4,8395.1,8391.6,8393.6,,,204
1715659200,8393.9,8394.9,8391.6,8393.6,,,138
1715662800,8393.4,8403.4,8391.4,8400.6,,,342
1715666400,8400.9,8412.6,8397.4,8406.1,,,623
1715670000,8406.6,8422.2,8406.6,8417.2,,,2074
1715673600,8416.9,8434.2,8415.7,8423.4,,,1684
1715677200,8423.7,8430.7,8421.9,8427.2,,,832
1715680800,8426.7,8426.7,8415.2,8421.7,,,886
1715684400,8422.2,8430.5,8416.7,8428.2,,,932
1715688000,8428,8449,8408.5,8446,,,2572
1715691600,8445.7,8448.5,8430.5,8431.5,,,2239
1715695200,8431.2,8431.5,8418.5,8428.5,,,1950
1715698800,8428,8437.5,8424,8424.5,,,1291
1715702400,8425,8426,8421.5,8425.5,,,417
1715706000,8426,8428.5,8423.5,8425.5,,,272
1715709600,8426,8443.7,8425.5,8441.5,,,544
1715713200,8441.7,8445.7,8439,8442.1,,,664
1715716800,8442,8442.9,8439.7,8441.5,,,173
1715724000,8441.3,8448.7,8441.2,8447.8,,,257
1715727600,8447.9,8448,8440.6,8441.4,,,129
1715731200,8449.4,8464.4,8449.4,8462.4,,,337
1715734800,8462.7,8469.9,8460.4,8469.2,,,301
1715738400,8469.9,8474.4,8468.7,8474.4,,,212
1715742000,8474.2,8478.2,8474.2,8475.4,,,187
1715745600,8474.9,8476.2,8465.7,8466.4,,,195
1715749200,8466.2,8468.4,8462.4,8468.4,,,289
1715752800,8460.2,8464.2,8458.2,8460.4,,,374
1715756400,8460.9,8474.4,8459.2,8472.2,,,2343
1715760000,8471.9,8473.2,8455.7,8456.4,,,1671
1715763600,8456.7,8459.2,8442.2,8444.7,,,1371
1715767200,8444.9,8453.2,8444.4,8452.9,,,1124
1715770800,8452.4,8456.7,8439.1,8439.1,,,1240
1715774400,8438.8,8465.3,8433.1,8442.8,,,3475
1715778000,8443.1,8456.6,8438.1,8445.6,,,2983
1715781600,8445.8,8446.6,8431.8,8443.8,,,2198
1715785200,8444.3,8450,8417.1,8422.1,,,1539
1715788800,8421.8,8427.1,8420.8,8425.6,,,602
1715792400,8425.3,8427.6,8421.6,8422.1,,,381
1715796000,8421.6,8424.1,8413.6,8414.8,,,448
1715799600,8415.1,8421.6,8412.1,8419.6,,,624
1715803200,8420.9,8420.9,8411.1,8420.1,,,428
1715810400,8423,8427.8,8422.5,8425.7,,,246
1715814000,8426.2,8432.5,8426.1,8426.8,,,360
1715817600,8438.9,8445.1,8436.1,8440.9,,,422
1715821200,8440.6,8445.1,8437.9,8443.4,,,480
1715824800,8443.6,8443.6,8439.4,8442.1,,,312
1715828400,8442.6,8450.9,8442.4,8449.1,,,247
1715832000,8448.9,8454.1,8448.6,8450.6,,,233
1715835600,8450.4,8453.6,8446.9,8448.4,,,514
1715839200,8447.6,8447.6,8431.9,8433.4,,,717
1715842800,8433.9,8439.6,8408.4,8412.9,,,2693
1715846400,8413.1,8419.1,8405.6,8405.6,,,1327
1715850000,8406.1,8420.6,8406.1,8419.8,,,993
1715853600,8420.1,8429.1,8418.1,8426.3,,,777
1715857200,8426.1,8451.2,8425.1,8447.5,,,1041
1715860800,8447,8455.5,8440.7,8445.5,,,1344
1715864400,8445.7,8453,8437,8440,,,1711
1715868000,8440.5,8453.4,8437.4,8441.9,,,1708
1715871600,8441.4,8442.9,8419.9,8442.9,,,1827
1715875200,8443.4,8445.1,8438.9,8441.4,,,701
1715878800,8441.1,8441.4,8427.4,8431.1,,,998
1715882400,8430.9,8434.6,8423.9,8433.4,,,698
1715886000,8432.9,8438.1,8427.4,8428.5,,,744
1715889600,8428.4,8429.2,8423.9,8424.8,,,357
1715896800,8428.8,8432.6,8428,8432.1,,,251
1715900400,8432,8434.1,8430.2,8430.9,,,223
1715904000,8430.8,8435.1,8428.3,8433.8,,,320
1715907600,8433.6,8435.3,8427.1,8429.8,,,285
1715911200,8430.6,8430.8,8416.1,8418.3,,,273
1715914800,8417.8,8418.8,8414.3,8415.8,,,168
1715918400,8416.1,8417.8,8413.3,8414.3,,,188
1715922000,8414.6,8420.1,8413.6,8419.8,,,269
1715925600,8420.1,8430.6,8418.8,8425.3,,,743
1715929200,8425.8,8440.3,8416,8417.3,,,2540
1715932800,8417,8417.8,8400.8,8409.3,,,1841
1715936400,8409.8,8433.5,8404.8,8408,,,2018
1715940000,8408.3,8408.5,8401.3,8404.8,,,1180
1715943600,8405,8410.8,8400.9,8405.9,,,1017
1715947200,8405.6,8414.4,8401.4,8414.4,,,1165
1715950800,8414.6,8425.4,8411.4,8422.4,,,1846
1715954400,8422.9,8432.8,8421.8,8425.6,,,1609
1715958000,8425.1,8427.1,8414.1,8417.1,,,1407
1715961600,8417.6,8427.3,8416.8,8427.3,,,698
1715965200,8427.1,8431.1,8423.8,8427.6,,,470
1715968800,8427.8,8428.6,8419.3,8427.6,,,820
1715972400,8427.1,8430.8,8425.6,8430.3,,,749
1715976000,8427.8,8428.4,8424.8,8426.2,,,223
1716156000,8428.7,8439,8428.7,8435,,,243
1716159600,8435.3,8444,8435.2,8442.4,,,156
1716163200,8442.3,8442.4,8417.1,8429.3,,,476
1716166800,8428.6,8435.6,8427.3,8433.3,,,435
1716170400,8432.8,8435.1,8431.3,8431.8,,,212
1716174000,8431.3,8433.3,8429.6,8431.8,,,188
1716177600,8431.6,8434.1,8429.8,8432.8,,,201
1716181200,8432.6,8438.1,8432.1,8437.3,,,298
1716184800,8436.6,8436.6,8426.6,8432.3,,,501
1716188400,8432.8,8451.2,8431.6,8448.7,,,1433
1716192000,8448.4,8451.9,8435.7,8436.9,,,1047
1716195600,8437.2,8442.2,8433.2,8439.2,,,872
1716199200,8439.7,8444.9,8438.4,8441.7,,,649
1716202800,8442.4,8445.4,8435.3,8438.1,,,762
1716206400,8437.6,8438.1,8419.1,8428.6,,,1217
1716210000,8429.1,8429.8,8416.6,8427.6,,,1713
1716213600,8426.6,8434.5,8422.6,8429.5,,,1237
1716217200,8430,8430,8419.5,8420.5,,,883
1716220800,8420.2,8420.5,8415.2,8415.5,,,249
1716224400,8416,8418.5,8411.5,8413.2,,,402
1716228000,8413.5,8414.2,8403.5,8403.5,,,576
1716231600,8403.2,8406.5,8396.7,8399.5,,,540
1716235200,8400,8404.2,8396.1,8401.6,,,247
1716242400,8405.1,8405.5,8400,8400.6,,,153
1716246000,8400.8,8401.9,8400.3,8401.9,,,125
1716249600,8400.5,8401.5,8393.3,8394,,,342
1716253200,8393.8,8397.3,8390,8390,,,416
1716256800,8390.3,8391,8377.5,8378.5,,,342
1716260400,8378.8,8380,8360.8,8366.5,,,293
1716264000,8366.3,8377,8365,8376.8,,,221
1716267600,8376.5,8383,8374.5,8379.5,,,396
1716271200,8380.5,8406.3,8380.5,8388.5,,,796
1716274800,8389,8402.3,8381.8,8387.5,,,2285
1716278400,8387,8396.8,8377.3,8386.3,,,1720
1716282000,8386,8398,8379.3,8379.8,,,1273
1716285600,8379.3,8396,8379.3,8390.3,,,1159
1716289200,8390.8,8394.3,8382.8,8393.8,,,855
1716292800,8393.3,8394,8379.5,8387,,,1138
