time,open,high,low,close,First 1m Range,First 1m Volume,Volume
1753203600,44379.9,44473.9,44374,44404.9,,,6008
1753207200,44403.2,44508.5,44377.6,44476.7,,,6311
1753210800,44478.1,44541.5,44470.9,44495,,,5965
1753214400,44496.5,44537,44484.6,44532.9,,,987
1753218000,44534,44546,44534,44541,,,159
1753221600,44541.1,44562,44515.3,44525.8,,,947
1753225200,44525.3,44647.9,44525.3,44625.6,,,3341
1753228800,44627.6,44632.1,44553.5,44564,,,2948
1753232400,44563.5,44619.7,44545.1,44618.9,,,2204
1753236000,44619,44622.6,44595.2,44618.1,,,1408
1753239600,44618.6,44646.5,44603.4,44620.4,,,1216
1753243200,44619.9,44646.8,44605,44644,,,972
1753246800,44643.5,44661.3,44638,44643.5,,,1493
1753250400,44643.3,44652.5,44611.9,44641.5,,,1847
1753254000,44643.5,44669.5,44604.4,44627.9,,,3573
1753257600,44626.9,44719.2,44611.5,44711,,,2358
1753261200,44710.5,44744.2,44710,44737.1,,,1975
1753264800,44737.2,44755.8,44711.2,44714.5,,,1611
1753268400,44717,44739.2,44678.7,44738.1,,,2572
1753272000,44737.6,44751.5,44719.1,44746.5,,,2363
1753275600,44746.9,44789.9,44633.4,44683.7,,,9818
1753279200,44684.4,44734.9,44658.3,44696.1,,,9815
1753282800,44695.6,44900.1,44678,44863.4,,,9066
1753286400,44858.9,44936.8,44835.4,44873.4,,,10484
1753290000,44874.2,44983.2,44856.7,44932.2,,,7406
1753293600,44931.2,44986.3,44930.2,44962.1,,,5829
1753297200,44960.4,45021.5,44944.8,45018.4,,,5822
1753300800,45016.9,45023.5,44890.2,44897.5,,,2537
1753304400,44899,44912.9,44893.2,44899.4,,,361
1753308000,44903.1,44929.7,44889.5,44890.7,,,1323
1753311600,44890.2,44919.3,44884.5,44910.8,,,930
1753315200,44909.3,44909.8,44887,44890.7,,,1470
1753318800,44890.2,44919.8,44887.9,44913.9,,,1275
1753322400,44913.4,44929.2,44906.9,44912,,,753
1753326000,44911,44911,44876.9,44879.9,,,714
1753329600,44879.4,44892.5,44868.8,44891,,,704
1753333200,44890.5,44900.8,44878.1,44885.3,,,829
1753336800,44884.8,44902,44855.1,44857.8,,,1510
1753340400,44857.3,44870.6,44833.4,44846.4,,,2545
1753344000,44847.4,44899.9,44845.9,44870.7,,,1820
1753347600,44872.7,44889.6,44859,44873.8,,,1361
1753351200,44890.8,44929.8,44817.5,44823.7,,,2145
1753354800,44824.7,44858.9,44809.9,44833.5,,,1767
1753358400,44831.5,44835.4,44665.2,44694.8,,,4502
1753362000,44695,44786.9,44661.7,44786.4,,,10710
1753365600,44791.4,44900.8,44775.5,44873.7,,,11800
1753369200,44872.2,44912.9,44813.3,44850.8,,,8443
1753372800,44850.7,44858.3,44750.3,44789.2,,,8178
1753376400,44789.8,44848.9,44779.4,44823.2,,,5847
1753380000,44823,44875,44735,44779.1,,,6047
1753383600,44777.7,44808.2,44692.7,44709.7,,,6545
1753387200,44711.2,44743.7,44685.7,44740.4,,,1090
1753390800,44739.3,44757.7,44739.2,44754.4,,,112
1753394400,44754.5,44796.7,44745.4,44778.6,,,826
1753398000,44777.6,44803.6,44764.2,44796.3,,,772
1753401600,44798.8,44810.6,44787.2,44806.2,,,1081
1753405200,44806.7,44832.7,44802.3,44820.3,,,941
1753408800,44821.3,44839,44820.1,44827.6,,,572
1753412400,44828.6,44854.6,44827.6,44842.6,,,577
1753416000,44841.1,44844.8,44792.6,44796.2,,,809
1753419600,44797.2,44808,44780.3,44789.8,,,853
1753423200,44790.3,44807.4,44757.1,44759.9,,,1271
1753426800,44760.4,44768.8,44720.8,44740.3,,,3278
1753430400,44741.3,44786.9,44736.8,44771.7,,,2169
1753434000,44771.2,44793.7,44755.9,44779.4,,,1321
1753437600,44779.9,44790.6,44755.9,44775.2,,,1221
1753441200,44774.7,44778.3,44730.3,44749.7,,,1489
1753444800,44750.7,44796.5,44742.7,44768,,,2012
1753448400,44768.5,44806.5,44705.2,44727.4,,,8988
1753452000,44730.6,44831.9,44643.4,44788.6,,,10381
1753455600,44788.1,44816.8,44733.6,44750.2,,,7462
1753459200,44749.5,44822.6,44738.2,44815.9,,,5643
1753462800,44815.3,44898.4,44804.9,44890,,,4962
1753466400,44888.3,44927,44876,44898.1,,,4421
1753470000,44896.2,44938.6,44878.6,44899.1,,,5151
1753473600,44898.7,44911.6,44873.2,44897.8,,,996
1753653600,45081.6,45111.8,45037.6,45052.2,,,2042
1753657200,45051.2,45083.4,45034.2,45050.4,,,1420
1753660800,45051.4,45080.6,45034,45076.3,,,1472
1753664400,45076.8,45077.3,45046.4,45061.1,,,1005
1753668000,45060.1,45082.1,45048.6,45076.9,,,670
1753671600,45076.8,45078.8,45064.1,45075.1,,,472
1753675200,45074.6,45095,45074.6,45089.4,,,427
1753678800,45088.9,45106.2,45086.1,45097.1,,,775
1753682400,45097.7,45131.2,45056.9,45058.6,,,1828
1753686000,45059.1,45075.7,45008.1,45028,,,2723
1753689600,45027.5,45027.5,44982.6,44987.7,,,2021
1753693200,44987.2,44999.6,44968.5,44975.6,,,1348
1753696800,44975.1,44989.2,44934.4,44945.9,,,1769
1753700400,44940.9,44947.2,44915.3,44936.9,,,1856
1753704000,44935.9,44952,44895.1,44949.1,,,2937
1753707600,44950.1,44954.1,44779.7,44815.5,,,9439
1753711200,44816,44941.1,44802.6,44885.7,,,9594
1753714800,44884.6,44933.2,44838.2,44920.6,,,7051
1753718400,44920.8,44946.8,44850.1,44855.4,,,5111
1753722000,44852.4,44889.6,44775.5,44780.1,,,5206
1753725600,44782,44808.1,44736.3,44780.7,,,5579
1753729200,44779.4,44842.2,44750.5,44831.2,,,5393
1753732800,44832.2,44853.8,44811.1,44826.6,,,900
1753736400,44825.6,44831.2,44820.7,44829.5,,,133
1753740000,44824.8,44870.7,44824.8,44862.8,,,817
1753743600,44863.3,44868.6,44840,44852.5,,,570
1753747200,44852.6,44852.6,44811.7,44843,,,1108
1753750800,44840.5,44870.8,44836.9,44852.7,,,834
1753754400,44851.7,44872.5,44845.2,44871.9,,,960
1753758000,44871.4,44879.2,44855.6,44876.8,,,598
1753761600,44877.3,44901.4,44877.3,44898.8,,,551
1753765200,44899,44919.7,44891.6,44912.1,,,634
1753768800,44913.1,44925.8,44851.4,44857.8,,,1198
1753772400,44858.8,44917.5,44852.4,44914.3,,,2518
1753776000,44898.3,44914.2,44883,44895,,,2216
1753779600,44895.1,44947.8,44784.1,44885.1,,,2070
1753783200,44887.1,44903.2,44792.9,44876,,,3023
1753786800,44875,44934.7,44856.1,44914.2,,,2802
1753790400,44914.7,44923.5,44840.3,44863.6,,,3072
1753794000,44862.6,44887.2,44759.8,44803.7,,,9764
1753797600,44804.8,44839.5,44667.6,44678.2,,,11166
1753801200,44679.3,44712.7,44597.8,44635.6,,,10643
1753804800,44635.7,44700.3,44612.6,44697.6,,,7676
1753808400,44697.8,44745.7,44577.2,44634.8,,,7448
1753812000,44635.5,44639.4,44591,44610.8,,,5846
1753815600,44610.4,44654.3,44564.4,44651.2,,,6823
1753819200,44649.2,44669.7,44584.7,44600,,,1174
1753822800,44596.8,44616,44596.8,44613.9,,,125
1753826400,44602.7,44640.6,44602.7,44635,,,768
1753830000,44636,44652.4,44618.8,44631.6,,,651
1753833600,44632,44675.4,44626.3,44668.3,,,1111
1753837200,44664.8,44691.1,44643.2,44675.5,,,1228
1753840800,44675.6,44687.4,44666.8,44674.3,,,669
1753844400,44674.5,44691,44674.5,44680,,,496
1753848000,44681,44701,44681,44695.6,,,511
1753851600,44696.7,44703,44676.3,44691.3,,,955
1753855200,44690.3,44704.1,44665.8,44665.8,,,1161
1753858800,44667.8,44677.4,44620.2,44668.8,,,2705
1753862400,44667.3,44683.4,44617.2,44639.5,,,2105
1753866000,44639,44664.1,44634,44661.8,,,1547
1753869600,44661.9,44672,44650.8,44669.3,,,1416
1753873200,44666.8,44679.1,44650.8,44672.4,,,1512
1753876800,44670.9,44690.9,44617.6,44655.9,,,4126
1753880400,44656,44707.8,44561.6,44656.6,,,9607
1753884000,44656.2,44738.5,44612.4,44657.6,,,9920
1753887600,44660.2,44664.2,44549.2,44636.1,,,7907
1753891200,44634.5,44687.6,44617.1,44641.2,,,5323
1753894800,44642.7,44700.9,44626.2,44655.2,,,4799
1753898400,44656.7,44744.5,44352.9,44365.6,,,13755
1753902000,44368.5,44499.9,44257.8,44469,,,17187
1753905600,44470,44674.3,44454.9,44492.3,,,3451
1753909200,44493.4,44560.3,44492.1,44551.4,,,621
1753912800,44553.9,44562.4,44488.4,44547.2,,,2291
1753916400,44547.7,44598.8,44540.7,44541.5,,,1150
1753920000,44542.1,44557.6,44511.5,44549.8,,,1823
1753923600,44550.8,44573,44536.6,44559.8,,,1084
1753927200,44560.3,44597.1,44550.9,44589.4,,,826
1753930800,44589.9,44597.2,44565.4,44591.2,,,653
1753934400,44591.6,44622.8,44587.4,44612,,,857
1753938000,44612.2,44624.8,44586,44615,,,1207
1753941600,44615.3,44628.7,44587.5,44605.9,,,1963
1753945200,44607.4,44694.4,44586.7,44665.1,,,3201
1753948800,44663.1,44681,44624.5,44657.5,,,2652
1753952400,44659,44660.5,44598.5,44621.9,,,1947
1753956000,44620.9,44631.7,44559.5,44563.6,,,1931
1753959600,44563.1,44594.5,44531,44560.8,,,2694
1753963200,44562.3,44605.4,44553.7,44564.1,,,3700
1753966800,44563.6,44608.6,44429.5,44590.6,,,11195
1753970400,44591.1,44622.1,44419.4,44422.8,,,14111
1753974000,44425.1,44475.3,44291.5,44468.4,,,11881
1753977600,44465.6,44521.4,44428,44512.2,,,7706
1753981200,44509.3,44509.8,44253.3,44283.2,,,12625
1753984800,44282,44388.4,44150.9,44328.5,,,13737
1753988400,44330.3,44365.7,44045.8,44121.9,,,14422
1753992000,44123.9,44249.9,44059,44099.7,,,2699
1753995600,44105.5,44143.7,44081.6,44083,,,482
1753999200,44119.4,44178.3,44053.6,44102.2,,,3267
1754002800,44103.2,44135.4,44074.3,44114.4,,,2814
1754006400,44111.4,44118.4,43998.3,44074.1,,,4016
1754010000,44070.6,44129.7,44068.8,44105.5,,,2548
1754013600,44106,44131.2,44094.6,44124.2,,,1327
1754017200,44124.7,44158.4,44094.1,44095.1,,,1244
1754020800,44094.6,44110.8,44070.8,44094.8,,,1316
1754024400,44094.9,44100.4,44034.9,44044.6,,,1690
1754028000,44043,44046.4,43971,43994,,,3073
1754031600,43993.5,43996.5,43704.6,43772.2,,,8316
1754035200,43771.7,43840.6,43702.9,43763.1,,,7295
1754038800,43759.1,43794.4,43725,43757.8,,,4813
1754042400,43757.9,43757.9,43638.2,43666.7,,,5144
1754046000,43667.7,43786.8,43660,43783.8,,,5059
1754049600,43782.3,43890.2,43700,43756.1,,,9372
1754053200,43755.6,43800,43435.9,43454.2,,,15850
1754056800,43448.7,43628.8,43318.5,43520.3,,,21709
1754060400,43519.8,43650.2,43457.4,43648.6,,,16082
1754064000,43645.6,43719.4,43496.8,43503.3,,,13210
1754067600,43502.8,43538.5,43448.5,43481.8,,,13038
1754071200,43481.3,43658.1,43410.6,43555.7,,,12697
1754074800,43554.1,43670.2,43527.9,43575.4,,,13991
1754078400,43573.5,43600.4,43558.1,43576.1,,,1233
1754258400,43573.1,43616.9,43505.1,43609.9,,,2020
1754262000,43610.4,43628.2,43552.7,43609.9,,,3240
1754265600,43610.7,43682.3,43601.1,43669.5,,,3928
1754269200,43670,43693.4,43641.8,43671.9,,,3331
1754272800,43672.4,43714.8,43668,43709.8,,,2020
1754276400,43710.3,43739.5,43701.4,43733.8,,,1390
1754280000,43731.8,43732.3,43671.8,43701.5,,,1597
1754283600,43702.5,43748.2,43696.6,43730.8,,,1842
1754287200,43730.3,43753.7,43657.2,43719.3,,,3329
1754290800,43714.8,43819.6,43695.9,43788,,,4829
1754294400,43786,43869.4,43760.4,43860.3,,,3489
1754298000,43860.8,43894.3,43858.2,43865.2,,,2832
1754301600,43865.7,43885.1,43814.3,43826.3,,,2423
1754305200,43825.3,43826.5,43757.1,43762.9,,,3368
1754308800,43767.9,43827.5,43752.8,43775.3,,,3501
