time,open,high,low,close,First 1m Range,First 1m Volume,Volume
1730998800,19384.5,19408,19371,19402,,,
1731002400,19402,19411,19390,19403.5,,,
1731006000,19403.5,19440,19391,19440,,,
1731009600,19440,19451,19417.5,19439.5,,,
1731013200,19439.5,19454.82,19432.81,19439.07,,,
1731020400,19439.07,19448.7,19427.75,19439.41,,,
1731024000,19439.41,19452,19435.75,19438.5,,,
1731027600,19438.5,19445,19426.5,19430,,,
1731031200,19430,19432.5,19408.5,19413.5,,,
1731034800,19413.5,19426.5,19404,19405,,,
1731038400,19405,19416.5,19402.5,19407.5,,,
1731042000,19407.5,19431,19405.5,19421,,,
1731045600,19421,19427.5,19389.5,19396,,,
1731049200,19396,19424,19383,19402.5,,,
1731052800,19402.5,19416.5,19318.5,19334,,,
1731056400,19334,19344.5,19216,19216,,,
1731060000,19216,19227.5,19143,19170,,,
1731063600,19170,19231,19148,19224,,,
1731067200,19224,19264,19224,19252,,,
1731070800,19252,19259.5,19209,19217,,,
1731074400,19217,19246,19178,19206,,,
1731078000,19206,19234.5,19177,19223,,,
1731081600,19223,19223,19199,19205,,,
1731085200,19205,19209.5,19187,19198.5,,,
1731088800,19198.5,19212,19191.5,19204,,,
1731092400,19204,19240.5,19197.5,19224,,,
1731096000,19224,19246.5,19211.5,19244,,,
1731099600,19244,19244.5,19244,19244.5,,,
1731279600,19244.5,19275.47,19244.5,19274.67,,,
1731283200,19274.67,19293.5,19256,19276.5,,,
1731286800,19276.5,19280.5,19248,19267,,,
1731290400,19267,19269.5,19249.5,19256,,,
1731294000,19256,19259.5,19250.5,19253.5,,,
1731297600,19253.5,19270.5,19251.5,19260.5,,,
1731301200,19260.5,19290.5,19260.5,19282,,,
1731304800,19282,19307.5,19282,19307,,,
1731308400,19307,19392.5,19288.5,19391.5,,,
1731312000,19391.5,19466.5,19370,19425.5,,,
1731315600,19425.5,19457,19412,19446.5,,,
1731319200,19446.5,19474.5,19445.5,19452.5,,,
1731322800,19452.5,19480.5,19441.5,19469.5,,,
1731326400,19469.5,19502,19461.5,19497.5,,,
1731330000,19497.5,19546.5,19483,19530,,,
1731333600,19530,19530.5,19481.5,19492.5,,,
1731337200,19492.5,19494.5,19466.5,19479,,,
1731340800,19479,19486,19444,19455.5,,,
1731344400,19455.5,19459,19411,19411.5,,,
1731348000,19411.5,19427.5,19371.5,19424.5,,,
1731351600,19424.5,19439.5,19418,19430,,,
1731355200,19430,19438,19404,19419,,,
1731358800,19419,19422,19396.4,19409.27,,,
1731366000,19409.27,19411.17,19401.46,19410.34,,,
1731369600,19410.34,19414.5,19384.5,19394,,,
1731373200,19394,19418.5,19384.5,19399,,,
1731376800,19399,19403,19344,19348.5,,,
1731380400,19348.5,19371,19348,19348.5,,,
1731384000,19348.5,19360,19332.5,19359.5,,,
1731387600,19359.5,19360.5,19297,19300,,,
1731391200,19300,19302.5,19268.5,19275,,,
1731394800,19275,19309.5,19248.5,19264,,,
1731398400,19264,19303.5,19222,19292,,,
1731402000,19292,19343,19273,19320,,,
1731405600,19320,19320,19256,19266,,,
1731409200,19266,19304,19255.5,19270.5,,,
1731412800,19270.5,19284.5,19223,19230,,,
1731416400,19230,19267,19218.5,19264,,,
1731420000,19264,19275.5,19221,19225,,,
1731423600,19225,19229,19071.5,19076,,,
1731427200,19076,19077,18984.5,18986,,,
1731430800,18986,19000,18961,18968,,,
1731434400,18968,19048,18966.5,19042.5,,,
1731438000,19042.5,19084.5,19042,19067.5,,,
1731441600,19067.5,19082.5,19066.5,19073.5,,,
1731445200,19073.5,19084.85,19068.31,19069.5,,,
1731452400,19069.5,19073.39,19043.73,19058.67,,,
1731456000,19058.67,19060.26,19038,19053.5,,,
1731459600,19053.5,19072,19040.5,19056,,,
1731463200,19056,19079,19050.5,19076.5,,,
1731466800,19076.5,19087.5,19060,19061.5,,,
1731470400,19061.5,19064.5,19044.5,19056.5,,,
1731474000,19056.5,19065,19016.5,19020.5,,,
1731477600,19020.5,19030.5,18977,19005.5,,,
1731481200,19005.5,19069.5,18999,19064,,,
1731484800,19064,19091.5,19009.5,19089.5,,,
1731488400,19089.5,19125.5,19082,19117,,,
1731492000,19117,19118,19053,19083,,,
1731495600,19083,19099.5,19008,19008.5,,,
1731499200,19008.5,19024,18930.5,18931.5,,,
1731502800,18931.5,19005.5,18913.5,18975.5,,,
