time,open,high,low,close,First 1m Range,First 1m Volume,Volume
1706850000,4932.8,4935.3,4932.3,4933.6,,,506
1706853600,4933.3,4936.1,4932.1,4934.8,,,1175
1706857200,4934.6,4934.6,4931.4,4931.6,,,1122
1706860800,4931.9,4937.9,4929.6,4935.6,,,1516
1706864400,4935.9,4938.1,4929.9,4933,,,1172
1706868000,4933.1,4935.9,4932.1,4933.6,,,794
1706871600,4933.1,4936.9,4932.1,4936.9,,,822
1706875200,4937.1,4941.6,4934.6,4939.6,,,1012
1706878800,4939.9,4942.1,4905.6,4907.6,,,6810
1706882400,4907.4,4923.9,4904.1,4919.5,,,8026
1706886000,4918.7,4939.1,4914.6,4936.6,,,9318
1706889600,4936.9,4955.4,4931.4,4950.6,,,6204
1706893200,4950.9,4961.6,4937.9,4951.4,,,5808
1706896800,4951.6,4960.6,4948.2,4958.1,,,7455
1706900400,4958.4,4972.6,4958.4,4972.1,,,4966
1706904000,4972.4,4975.9,4957.6,4957.6,,,5449
1706907600,4956.6,4957.3,4950.3,4954.3,,,1351
1707087600,4957.3,4961.1,4954.1,4957.1,,,2522
1707091200,4956.6,4960.1,4945.6,4948.6,,,4082
1707094800,4948.9,4950.6,4944.9,4950.4,,,1903
1707098400,4950.1,4950.6,4946.1,4947.9,,,1205
1707102000,4947.6,4949.4,4945.1,4946.6,,,558
1707105600,4946.9,4948.1,4946.4,4948.1,,,220
1707109200,4947.9,4950.6,4947.5,4949.6,,,614
1707112800,4949.9,4952.1,4949.6,4951.1,,,796
1707116400,4951.3,4953.7,4949.4,4949.4,,,897
1707120000,4949.2,4954.4,4948.2,4952.7,,,2132
1707123600,4952.4,4953.9,4944.4,4946.4,,,1200
1707127200,4946.7,4954.4,4946.7,4952.7,,,800
1707130800,4952.9,4953.4,4950.7,4950.9,,,836
1707134400,4950.7,4955.9,4949.2,4954.7,,,980
1707138000,4954.4,4955.4,4943.9,4945.4,,,1426
1707141600,4945.7,4953.4,4944.4,4950.5,,,4806
1707145200,4947.4,4948.8,4918.4,4924.4,,,8462
1707148800,4924.7,4937.7,4922.9,4937.4,,,3866
1707152400,4936.9,4950.2,4936.4,4946.7,,,2960
1707156000,4946.9,4951.4,4942.2,4947.4,,,3306
1707159600,4947.7,4957.9,4944.9,4956.2,,,3214
1707163200,4956.4,4956.4,4941.1,4941.4,,,4937
1707166800,4941.9,4942.4,4936.1,4940.1,,,961
1707174000,4942,4942.9,4938.5,4939,,,758
1707177600,4938.8,4942.8,4938.5,4942,,,490
1707181200,4941.8,4945,4941.8,4944.5,,,980
1707184800,4944.3,4946.8,4943.8,4945.3,,,544
1707188400,4945.4,4948.3,4945,4946,,,570
1707192000,4945.8,4948.3,4945.5,4947.8,,,276
1707195600,4948,4949.3,4946.3,4946.5,,,712
1707199200,4946.3,4947,4945,4946.5,,,529
1707202800,4946.3,4952.6,4946.3,4950.6,,,865
1707206400,4950.8,4952.1,4946.1,4946.1,,,1410
1707210000,4946.3,4949.3,4943.8,4944.6,,,1066
1707213600,4944.3,4944.6,4939.6,4943.3,,,998
1707217200,4943.1,4944.1,4936.3,4939.8,,,1162
1707220800,4939.6,4942.1,4935.8,4941.8,,,1120
1707224400,4942.1,4950.8,4941.1,4949.6,,,1368
1707228000,4949.8,4959.3,4945.8,4946.1,,,4686
1707231600,4946.3,4947.8,4936.3,4944.1,,,7792
1707235200,4943.8,4950.3,4938.6,4939.6,,,5980
1707238800,4939.8,4945.6,4937.1,4941.8,,,5088
1707242400,4942.1,4951.6,4940.8,4951.3,,,3844
1707246000,4951.6,4951.8,4937.1,4947.6,,,3582
1707249600,4947.8,4956.8,4942.3,4955.8,,,4013
1707253200,4955.3,4957.3,4950,4953.3,,,655
1707260400,4953.9,4957,4953.9,4955,,,730
1707264000,4955.2,4956.2,4953.7,4955.5,,,589
1707267600,4955.7,4965.2,4955.7,4960.2,,,1452
1707271200,4960,4961.7,4959.7,4961.5,,,720
1707274800,4961.7,4962.2,4957.2,4957.2,,,458
1707278400,4957,4957.5,4956,4957,,,412
1707282000,4956.7,4957.5,4955.2,4957,,,665
1707285600,4957.1,4957.1,4952.7,4956.1,,,718
1707289200,4956.2,4957,4953,4953.9,,,1193
1707292800,4953.8,4956.3,4953.3,4956,,,1564
1707296400,4956.3,4958.3,4954.5,4957.5,,,796
1707300000,4957.8,4958,4952,4953.3,,,758
1707303600,4953,4957.5,4953,4956.3,,,816
1707307200,4956,4965.5,4952.8,4965,,,1076
1707310800,4964.8,4973.5,4964.3,4971.8,,,1390
1707314400,4972,4981,4970,4975.3,,,3852
1707318000,4975,4997,4971.5,4989.3,,,5702
1707321600,4989.5,4995,4985,4992.5,,,5486
1707325200,4992.8,4995.3,4984.5,4992,,,3976
1707328800,4992.5,5000.8,4987.3,4997.3,,,4357
1707332400,4997,5000,4994.5,4999.8,,,2472
1707336000,4999.3,5001.8,4992.8,4997.5,,,2885
1707339600,4996.7,4998,4994.5,4997.9,,,714
