time,open,high,low,close,VIDYA 55,VIDYA 233,Lower BB,Upper BB,Midline BB,Lower BB2,Upper BB2,Lower BB3,Upper BB3,Trend Line,Short Kalman,Long Kalman,Title (Open),Title (High,Title (Low),Title (Close),PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),ParabolicSAR,Previous Value,MOM-LRC Upper,MOM-LRC Lower,Upper Band (1.5 Dev),Lower Band (1.5 Dev)
2026-02-05T21:15:00Z,24446.83,24449.83,24379.84,24398.83,24711.740964229568,24626.005954524397,24492.877750642274,25067.794679109782,24780.336214876028,24397.05826256436,25163.614167187698,24301.238774486443,25259.433655265613,23872.134548441343,24440.130129229638,24518.17339847711,24446.83,24449.83,24379.84,24398.83,24446.83,24449.83,24379.84,24398.83,24678.477142726322,52.33158249190308,78.13037023025299,26.532794753553173,71.6806733,32.98249168814065
2026-02-06T01:15:00Z,24377.63,24500.13,24348.88,24416.88,24701.210215507086,24624.218553203675,24497.24701990096,25071.37222638004,24784.30962,24401.559485487778,25167.05976079322,24305.871951074598,25262.7473,23873.247562175944,24429.35776407917,24496.348831637715,24377.63,24500.13,24348.88,24416.88,24377.63,24500.13,24348.88,24416.88,24623.527542744636,52.17092440379965,78.01800057267347,26.32384823492583,71.55623153045502,32.78561727714428
2026-02-06T05:15:00Z,24416.88,24544.08,24398.58,24524.58,24694.90199352469,24623.366941637832,24501.928943275176,25075.33692779921,24788.632935537193,24406.36095,25170.904925219886,24310.792948433827,25266.472922640558,23874.49418654401,24473.476602544622,24502.431488850725,24416.88,24544.08,24398.58,24524.58,24416.88,24544.08,24398.58,24524.58,24576.270886760387,52.00264810756007,77.87380049992183,26.131495715198305,71.40601240183139,32.59928381328875
2026-02-06T09:15:00Z,24522.58,24667.08,24507.58,24633.08,24692.69406518452,24623.449959230675,24506.890338733883,25079.63996650028,24793.26515261708,24411.432067439484,25175.09823779468,24315.973796145085,25270.556509089078,23875.968044465986,24547.424839978637,24530.580876736938,24522.58,24667.08,24507.58,24633.08,24522.58,24667.08,24507.58,24633.08,24285.98,51.845934923763345,77.71859640028931,25.97327344723737,71.25043103115783,32.44143881636886
2026-02-06T13:15:00Z,24634.08,24746.08,24586.08,24731.08,24694.06499142793,24624.369874109045,24512.038375542943,25084.179286165076,24798.10883085401,24416.68155710592,25179.5361,24321.324738668896,25274.892923039122,23877.611321029148,24632.516859295072,24573.780202484544,24634.08,24746.08,24586.08,24731.08,24634.08,24746.08,24586.08,24731.08,24293.602,51.71853824217233,77.57748624876025,25.859590235584413,71.11274924711327,32.324327237231394
2026-02-06T17:15:00Z,24730.08,24791.08,24715.08,24778.38,24697.076241734077,24625.686199971362,24517.35203888686,25088.92826524538,24803.14015206612,24422.089334493772,25184.19096963847,24326.826630100684,25279.453674031556,23879.4006,24700.09889,24617.86305510215,24730.08,24791.08,24715.08,24778.38,24730.08,24791.08,24715.08,24778.38,24311.701119999998,51.62612754992566,77.46284676554265,25.78940833430867,71.00366696,32.248588138212924
2026-02-09T01:15:00Z,24796.3,24827.55,24776.3,24804.05,24700.89673310072,24627.210676894683,24522.795029603047,25093.846365438265,24808.320697520656,24427.619806963845,25189.021588077467,24332.44458432464,25284.196810716672,23881.269488537815,24748.26203520973,24657.978694271507,24796.3,24827.55,24776.3,24804.05,24796.3,24827.55,24776.3,24804.05,24340.46385,51.570628408755084,77.37821752878264,25.763039288727533,70.92632024877575,32.21493656873442
2026-02-09T05:15:00Z,24804.05,24955,24792.05,24837,24705.75756406141,24629.003748032337,24528.402016263528,25098.969029466498,24813.685522865013,24433.30751406303,25194.063531666994,24338.21301186254,25289.158033867487,23883.253457184503,24789.376549025495,24696.550432521854,24804.05,24955,24792.05,24837,24804.05,24955,24792.05,24837,24379.43074,51.55078738557674,77.32044910825532,25.781125662898166,70.87803367758566,32.22354109356782
2026-02-09T09:15:00Z,24837,24859,24721,24847,24710.801936773503,24630.86696386112,24534.140043241787,25104.263950146626,24819.201996694206,24439.11939209098,25199.284601297433,24344.098740940175,25294.305252448237,23885.127438040407,24816.07493203217,24728.966134736907,24837,24859,24721,24847,24837,24859,24721,24847,24436.98767,51.566181555442036,77.29864381894235,25.83371929194172,70.86552825306728,32.26683486
2026-02-09T13:15:00Z,24847,25032.5,24814,25007.5,24721.39829617445,24634.086049640086,24539.995704337132,25109.71483891357,24824.85527162535,24445.04251524106,25204.66802800964,24350.089326144986,25299.621217105716,23887.28574956934,24904.76694362212,24788.978742180847,24847,25032.5,24814,25007.5,24847,25032.5,24814,25007.5,24488.78890310656,51.59851552880001,77.32292178,25.874109279740715,70.89182021559448,32.305210842005536
